stackid,respid,party,votech,stacked_votech,ptv,lr_dist,age_cont_yhat,age_dich_yhat,socdem_dich_yhat,socdem_cont_yhat,gndr,age
648-1503,648,1503,1503,1,1,0.0939716312056738,0.433793133882718,0.213850039091637,0.257874525378727,0.47096273497996,1,33
648-1504,648,1504,1503,0,0.5,0.0067688378033206,0.438822822044749,0.149147842013616,0.175967918877949,0.45310566681396,1,33
648-1505,648,1505,1503,0,0,0.160231432282442,0.263350842755876,0.0158355366838145,0.0188728898266434,0.199693302202398,1,33
648-1506,648,1506,1503,0,0,0.0983782334807667,0.326313234926061,0.0586157547167297,0.026204822508776,0.250937347694973,1,33
648-1507,648,1507,1503,0,0.7,0.0987522281639929,0.304821473898983,0.0328881204913017,0.0293678507262304,0.328771465399774,1,33
649-1501,649,1501,1503,0,0,,0.320498414240375,0.179181007459085,0.16642521301915,0.30211947601673,1,62
649-1502,649,1502,1503,0,0.2,,0.239300533426109,0.0365351979385477,0.0350239664637515,0.25109507069098,1,62
649-1503,649,1503,1503,1,1,0.350472813238771,0.446206556323357,0.267371378652851,0.290625257395779,0.45567614664662,1,62
649-1504,649,1504,1503,0,0.5,0.0067688378033206,0.357128060152755,0.161822280689924,0.181672162553833,0.356926040686098,1,62
649-1505,649,1505,1503,0,0,,0.189358862921926,0.0250643514190351,0.0294670444256776,0.139527056575651,1,62
649-1506,649,1506,1503,0,,,,0.0319067629599699,0.0196598161697002,,1,62
649-1507,649,1507,1503,0,0.3,,0.301757398895847,0.0457528812519886,0.0447455260034219,0.325468140355358,1,62
650-1501,650,1501,1503,0,0,0.355152377564331,0.361183854450934,0.133118421423274,0.088818217029907,0.278033432880569,1,32
650-1502,650,1502,1503,0,0,0.818526415541341,0.290242455099106,0.044170211034226,0.077667019469263,0.319758721199016,1,32
650-1503,650,1503,1503,1,1,0.205082742316785,0.433365084833041,0.212151349193679,0.368543153377808,0.57042456716928,1,32
650-1504,650,1504,1503,0,1,0.548786717752235,0.441639882799646,0.148725754192547,0.113643008781717,0.534005856402325,1,32
650-1505,650,1505,1503,0,0,0.160231432282442,0.265902290336357,0.0155856624060346,0.0253544776452743,0.231733758326463,1,32
650-1506,650,1506,1503,0,0,0.0127328776303445,0.329672752978361,0.0598380026980319,0.0389021271613468,0.291425410605347,1,32
650-1507,650,1507,1503,0,0,0.234581105169341,0.304927131657712,0.0325134177132245,0.0145908659211092,0.305047715259447,1,32
659-1501,659,1501,,0,0,0.355152377564331,0.362540035791286,0.131771164457485,0.110453623888553,0.306866747813903,1,31
659-1502,659,1502,,0,0,0.818526415541341,0.291940519154872,0.0444493161546385,0.0500062307123602,0.308790934646033,1,31
