"respid","party","stackid","votech","pid","pid_str","age","gndr","edu","lr_self","lr_party","lr_party_ches","euint_self","euint_party","euint_party_ches","ptv","stacked_votech","lr_dist","euint_dist","stacked_pid","stacked_pid_str","age_dich_yhat","age_cont_yhat","socdem_dich_yhat","socdem_cont_yhat"
4647,1507,"4647-1507",1504,1505,2,64,1,2,0.2,0.788877005347594,0.905263137817383,0.9,0.389568345323741,0.194736838340759,0,0,0.588877005347594,0.510431654676259,0,0,0.062097512478367,0.301546083378389,0.059785499092685,0.325240324835053
4649,1501,"4649-1501",99,99,0,31,1,3,0.5,0.319637139807898,0.321052622795105,0.8,0.557550535077289,0.678947353363037,0,99,0.180362860192102,0.242449464922711,99,0,99,0.362540035791286,99,0.367198391900856
4649,1502,"4649-1502",99,99,0,31,1,3,0.5,0.736673773987207,0.694736862182617,0.8,0.455791962174941,0.489473676681519,0,99,0.236673773987207,0.344208037825059,99,0,99,0.291940519154872,99,0.309786348507034
4649,1503,"4649-1503",99,99,0,31,1,3,0.5,0.815425531914894,0.878947353363037,0.8,0.394419134396355,0.168421053886414,0,99,0.315425531914894,0.405580865603645,99,0,99,0.432937035783364,99,0.391329031768277
4649,1504,"4649-1504",99,99,0,31,1,3,0.5,0.506091954022988,0.477777767181397,0.8,0.466309523809524,0.347368431091309,0,99,0.00609195402298846,0.333690476190476,99,0,99,0.444456943554542,99,0.447044424223759
4649,1505,"4649-1505",99,99,0,31,1,3,0.5,0.144208289054198,0.144444441795349,0.8,0.483291457286432,0.526666688919067,0,99,0.355791710945802,0.316708542713568,99,0,99,0.268453737916838,99,0.259480845149378
4649,1506,"4649-1506",99,99,0,31,1,3,0.5,0.38854041013269,0.43125,0.8,0.606041923551171,0.675,99,99,0.11145958986731,0.193958076448829,99,0,99,99,99,99
4649,1507,"4649-1507",99,99,0,31,1,3,0.5,0.788877005347594,0.905263137817383,0.8,0.389568345323741,0.194736838340759,0.8,99,0.288877005347594,0.410431654676259,99,0,99,0.30503278941644,99,0.304138495016412
4650,1501,"4650-1501",1501,1502,1,32,1,3,0.2,0.319637139807898,0.321052622795105,1,0.557550535077289,0.678947353363037,0.6,1,0.119637139807898,0.442449464922711,0,0,0.20490156814465,0.361183854450934,0.215116109892587,0.367045254100947
4650,1502,"4650-1502",1501,1502,1,32,1,3,0.2,0.736673773987207,0.694736862182617,1,0.455791962174941,0.489473676681519,0,0,0.536673773987207,0.544208037825059,1,1,0.0687993287489423,0.290242455099106,0.0924743131333274,0.307925191605258
4650,1503,"4650-1503",1501,1502,1,32,1,3,0.2,0.815425531914894,0.878947353363037,1,0.394419134396355,0.168421053886414,0,0,0.615425531914894,0.605580865603645,0,0,0.327135149832958,0.433365084833041,0.302468387847449,0.390801908032644
4650,1504,"4650-1504",1501,1502,1,32,1,3,0.2,0.506091954022988,0.477777767181397,1,0.466309523809524,0.347368431091309,0,0,0.306091954022988,0.533690476190476,0,0,0.230201390383259,0.441639882799646,0.213982206756989,0.443727885391764
4650,1505,"4650-1505",1501,1502,1,32,1,3,0.2,0.144208289054198,0.144444441795349,1,0.483291457286432,0.526666688919067,0.3,0,0.0557917109458024,0.516708542713568,0,0,0.0238557383570666,0.265902290336357,0.0215590460239754,0.257406147024318
4650,1506,"4650-1506",1501,1502,1,32,1,3,0.2,0.38854041013269,0.43125,1,0.606041923551171,0.675,0.4,0,0.18854041013269,0.393958076448829,0,0,0.0940500830016215,0.329672752978361,0.0963627933024171,0.321158629564789
4650,1507,"4650-1507",1501,1502,1,32,1,3,0.2,0.788877005347594,0.905263137817383,1,0.389568345323741,0.194736838340759,0,0,0.588877005347594,0.610431654676259,0,0,0.049976318094429,0.304927131657712,0.0578318189624882,0.30402458725626
4652,1501,"4652-1501",1501,1501,0,49,1,2,0.5,0.319637139807898,0.321052622795105,0.5,0.557550535077289,0.678947353363037,0.8,1,0.180362860192102,0.0575505350772889,1,0,0.224104673910397,0.33812877166495,0.1945257230063,0.304110267415544
4652,1502,"4652-1502",1501,1501,0,49,1,2,0.5,0.736673773987207,0.694736862182617,0.5,0.455791962174941,0.489473676681519,0,0,0.236673773987207,0.0442080378250591,0,0,0.0564696523678998,0.261375366151074,0.0561709329130358,0.275290110414067
4652,1503,"4652-1503",1501,1501,0,49,1,2,0.5,0.815425531914894,0.878947353363037,0.5,0.394419134396355,0.168421053886414,0,0,0.315425531914894,0.105580865603645,0,0,0.343985662095189,0.440641918677554,0.379567288193132,0.462528755209841
4652,1504,"4652-1504",1501,1501,0,49,1,2,0.5,0.506091954022988,0.477777767181397,0.5,0.466309523809524,0.347368431091309,0,0,0.00609195402298846,0.0336904761904762,0,0,0.221963148775823,0.393749849966408,0.248315044110571,0.400041045502036
4652,1505,"4652-1505",1501,1501,0,49,1,2,0.5,0.144208289054198,0.144444441795349,0.5,0.483291457286432,0.526666688919067,0.3,0,0.355791710945802,0.0167085427135679,0,0,0.0289930560572551,0.222527681468179,0.0332635249214898,0.166498132201434
4652,1506,"4652-1506",1501,1501,0,49,1,2,0.5,0.38854041013269,0.43125,0.5,0.606041923551171,0.675,0.2,0,0.11145958986731,0.106041923551171,0,0,0.0597858948035024,0.272560946089253,0.0309774676447824,0.20608268338257
4652,1507,"4652-1507",1501,1501,0,49,1,2,0.5,0.788877005347594,0.905263137817383,0.5,0.389568345323741,0.194736838340759,0.2,0,0.288877005347594,0.110431654676259,0,0,0.0561070423426121,0.303130949759322,0.0514884665292159,0.326948941237338
4656,1501,"4656-1501",1501,1507,2,27,1,3,0.3,0.319637139807898,0.321052622795105,0.8,0.557550535077289,0.678947353363037,0.7,1,0.0196371398078976,0.242449464922711,0,0,0.19949158574673,0.367964761152693,0.206148719976418,0.367810943100491
4656,1502,"4656-1502",1501,1507,2,27,1,3,0.3,0.736673773987207,0.694736862182617,0.8,0.455791962174941,0.489473676681519,0,0,0.436673773987207,0.344208037825059,0,0,0.0728760923264431,0.298732775377938,0.0999519048663866,0.317230976114137
4656,1503,"4656-1503",1501,1507,2,27,1,3,0.3,0.815425531914894,0.878947353363037,0.8,0.394419134396355,0.168421053886414,0,0,0.515425531914894,0.405580865603645,0,0,0.322260450519518,0.431224839584655,0.302794456107168,0.393437526710806
