respid,party,stackid,votech,pid,pid_str,age,gndr,edu,lr_self,lr_party,lr_party_ches,euint_self,euint_party,euint_party_ches,ptv,stacked_vc,lr_dist,lr_dist_ches,euint_dist,euint_dist_ches,stacked_pid,stacked_pid_str,age_dich_yhat,age_cont_yhat,socdem_dich_yhat,socdem_cont_yhat
12776,1502,12776-1502,1503,1503,3,36,2,2,1,.73667377,.69473684,.3,.45579195,.48947367,0,0,.26332623,.30526316,.15579195,.18947367,0,0,.049936179,.28345019,.041069794,.27252537
12776,1503,12776-1503,1503,1503,3,36,2,2,1,.81542552,.87894738,.3,.39441913,.16842106,1,1,.18457448,.12105262,.094419137,.13157894,1,3,.25331685,.43507728,.25550279,.48172146
12776,1504,12776-1504,1503,1503,3,36,2,2,1,.50609195,.47777778,.3,.46630952,.34736842,0,0,.49390805,.52222222,.16630952,.047368418,0,0,.17415923,.43037164,.19786938,.43218526
12776,1505,12776-1505,1503,1503,3,36,2,2,1,.14420828,.14444444,.3,.48329145,.5266667,0,0,.85579169,.85555553,.18329145,.2266667,0,0,.019193653,.25569651,.014987756,.2433794
12776,1506,12776-1506,1503,1503,3,36,2,2,1,.38854042,.43125001,.3,.60604191,.67500001,0,0,.61145961,.56875002,.3060419,.375,0,0,.064003974,.31623468,.031017343,.30122131
12776,1507,12776-1507,1503,1503,3,36,2,2,1,.78887701,.90526313,.3,.38956836,.19473684,0,0,.21112299,.094736874,.089568362,.10526316,0,0,.039361149,.30450451,.033232834,.30835611
12778,1501,12778-1501,0,0,0,36,2,2,99,.31963715,.32105261,.5,.55755055,.67894733,.60000002,0,99,99,.05755055,.17894733,0,0,.16031295,.35575914,.13283265,.30819857
12778,1502,12778-1502,0,0,0,36,2,2,99,.73667377,.69473684,.5,.45579195,.48947367,.5,0,99,99,.04420805,.010526329,0,0,.049936179,.28345019,.041069794,.27252537
12778,1503,12778-1503,0,0,0,36,2,2,99,.81542552,.87894738,.5,.39441913,.16842106,.60000002,0,99,99,.10558087,.33157894,0,0,.25331685,.43507728,.25550279,.48172146
12778,1504,12778-1504,0,0,0,36,2,2,99,.50609195,.47777778,.5,.46630952,.34736842,.69999999,0,99,99,.033690482,.15263158,0,0,.17415923,.43037164,.19786938,.43218526
12778,1505,12778-1505,0,0,0,36,2,2,99,.14420828,.14444444,.5,.48329145,.5266667,.1,0,99,99,.016708553,.026666701,0,0,.019193653,.25569651,.014987756,.2433794
